"Pais","Region","Superficie_km2","Poblacion_Miles_2017","Poblacion_Denskm2_2017.","SexoProporcionMpor100F_2017.","PIB_millonesUSD","PIB_crecimientoAnual","PIB_PerCapita","Economia_PorcentajeAgricola","Economia_PorcentajeIndustria","Empleados_PorcentajeAgricola","Empleados_PorcentajeIndustria","Desempleo_PorcentajePob","IndiceProduccionAgricola","IndiceProducionAlimentaria","ComercioIntExportacion_millonesUSD","ComercioIntImportacion_millonesUSD","CrecimientoPoblacion_TasaAnual","PoblacionUrbana_Porcentaje","CrecimientoPobUrbana_TasaAnual","TasaFertilidac_NacVivosMujer","MortalidadInfantil_porMilNac","GastoSalud_PIB","medicos_porMilpoblacion","GastoEducacion_PIB","participacionLaboralFem","participacionLaboralMasc","EducPrimariaTasaFem","EducPrimariaTasaMasc","EducSecundariaTasaFem","EducSecundariaTasaMasc","EducTerciariaTasaFem","EducTerciariaTasaMasc","AccesoAguaMejorPobUrbana","AccesoAguaMejorPobRural","EsperanzaVidaFem","EsperanzaVidaMasc","PorcentPoblacionJoven","PorcentPoblacionVieja","MigracionNum","MigracionPorcentaje"
"Lesotho","SouthernAfrica",30355,2233,73.6,94.4,2008,2.8,940.6,7.7,31.3,39.7,20,27.5,101,100,648,1727,1.3,27.3,3,3.3,59.8,10.6,NA,NA,59.7,74.6,104,107,62,45.7,2.5,1.2,37.3,27.6,54.7,50.1,35.4,6.7,6.6,0.3
"Liberia","WesternAfrica",111369,4732,49.1,101.8,2053,0.3,455.9,70.8,11.4,45.3,11.7,4.1,104,121,641,727,2.6,49.7,3.4,4.8,59,10,NA,2.8,57.9,64.1,89.1,98.5,32.5,41.9,0.9,0.2,28,5.9,61.6,59.8,41.8,4.9,113.8,2.5
"Libya","NorthernAfrica",1676198,6375,3.6,101.7,34457,-10.2,5488.2,0.9,67.1,19.1,25.1,19.2,113,114,4615,8876,0.2,78.6,1.1,2.4,24.3,5,2.1,-99,27.8,78.4,NA,NA,NA,NA,57,9.1,96.8,95.7,74.4,68.8,28.2,6.6,771.1,12.3
"Liechtenstein","WesternEurope",160,38,237,98.4,6361,1.4,169491.8,0.7,40.1,-99,-99,2.6,102,102,-99,-99,0.8,14.3,0.5,1.5,-99,-99,-99,2.6,53.5,70.6,104.8,106.5,101.7,130.7,NA,1.1,-99,NA,-99,NA,14.9,22.7,23.5,62.6
"Lithuania","NorthernEurope",65286,2890,46.1,85.4,41402,1.8,14383.7,3.6,29.8,8.7,24.5,9.2,125,125,25025,27501,-1.3,66.5,-0.5,1.6,4.4,6.6,4.3,4.6,54.1,66.1,103.7,103.2,106.1,110.3,12.8,4.4,97.2,82.8,79.3,68.5,14.8,25.3,136,4.7
"Luxembourg","WesternEurope",2586,584,225.3,101,56802,3.5,100160.8,0.2,12.1,1.3,10.2,5.6,98,98,12838,19124,2.2,90.2,1.7,1.5,3.4,6.9,2.9,4.1,52,65.5,97.3,96.9,103.5,101.1,9.7,17.3,97.5,98.5,83.4,78.8,16.4,19.6,249.3,44
"Madagascar","EasternAfrica",587295,25571,44,99.5,9739,3.1,401.8,24.9,18.4,74.2,9.4,2.3,119,120,2256,2965,2.7,35.1,4.7,4.4,36.8,3,0.1,2.1,83.8,89,148.9,148.9,38.1,38.8,3.1,0.1,18,8.7,66,63,41,4.8,32.1,0.1
"Malawi","EasternAfrica",118484,18622,197.5,98.2,6420,3,372.9,26.1,16.6,69.9,4.8,6.8,149,150,875,1649,2.9,16.3,3.8,4.9,66.5,11.4,NA,5.6,81.3,81,147,144,41,45.8,1.3,0.1,47.3,39.8,63.1,58.2,44,4.3,215.2,1.2
"Malaysia","South-easternAsia",330323,31624,96.3,106.7,296284,5,9768.4,8.6,39.6,11.8,27.3,3.3,122,130,189414,168375,1.8,74.7,2.7,2.1,6.5,4.2,1.3,5,49.3,77.8,101.9,101.7,80.7,74.6,242.8,8.1,96.1,95.9,77.1,72.6,24.3,9.7,2514.2,8.3
"Maldives","SouthernAsia",300,436,1454.4,131.8,3435,2.8,9446.5,3.1,22,7.7,22.8,2.9,65,65,140,2128,2.8,45.5,4.5,2.2,9,13.7,NA,5.2,57.8,79.6,98.6,97.3,NA,NA,1.3,3.7,97.5,98.3,77.4,75.4,23.4,6.3,94.1,25.9
"Mali","WesternAfrica",1240192,18542,15.2,100.2,13100,7.6,744.3,39.9,19.6,56.7,14.7,8.1,154,157,3030,2510,2.9,39.9,5.1,6.4,78.5,7,NA,3.7,50.5,82.3,72.1,79.3,36.8,45.6,1.4,0.1,37.5,16.1,56.9,55.6,47.7,4,363.1,2.1
"Malta","SouthernEurope",315,431,1346.4,100.9,9747,6.2,23280.7,1.4,15,1.2,20.9,5.4,96,96,4039,7182,0.5,95.4,0.5,1.4,4.8,9.7,3.9,7.8,39.4,65.7,104.7,102.2,98.1,91.7,2.3,5.6,100,100,82,78.6,14.4,26.1,41.4,9.9
"Marshall Islands","Micronesia",181,53,295.2,104.5,183,0.6,3452.6,16.4,10.2,NA,NA,4.7,115,115,27,86,0.2,72.7,0.6,4.1,25.4,17.1,0.5,NA,29,53.3,93.3,93.5,80.4,73.1,0.1,1.9,84.5,56.2,72.5,71.3,39,5.5,3.3,6.2
"Martinique","Caribbean",1128,385,363.1,83.5,-99,-99,-99,-99,-99,3.9,11.8,22.8,78,78,-99,-99,-0.5,88.9,0.2,2,6.4,-99,-99,-99,52.6,53.8,-99,NA,-99,NA,2.3,5.8,94,72.7,84.4,77.8,17.7,25.7,61.7,15.6
"Mauritania","WesternAfrica",1030700,4420,4.3,101.6,5023,1.2,1235,20.9,41.7,40.3,9.5,12,125,125,1623,2174,2.9,59.9,3.5,4.9,68,3.8,NA,2.9,29.3,65.5,105,100,29.5,31.7,2.7,0.7,57.5,13.8,64.1,61.2,39.9,5,138.2,3.4
"Mauritius","EasternAfrica",1969,1265,623.2,97.9,11511,3.5,9040.9,2.9,22.7,7.3,25.2,7.6,96,96,2194,4655,0.2,39.7,-0.1,1.5,12,4.8,NA,4.9,46.9,74.3,103.9,102.2,97.9,93.6,4.2,3.3,93.9,92.6,77.7,70.7,18.4,16.6,28.6,2.2
"Mayotte","EasternAfrica",-99,253,674.8,96.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,NA,NA,2.8,47,1.9,4.1,4.2,-99,-99,-99,-99,NA,-99,NA,-99,NA,-99,NA,-99,NA,82.9,76,40.6,5.8,77,32.1
"Mexico","CentralAmerica",1964375,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36,13.4,25.2,4.1,120,120,373883,387064,1.4,79.2,1.6,2.3,18.8,6.3,2.1,5.3,45.5,79.5,103.2,103.6,93.5,87.7,480.3,3.8,88,74.5,78.9,74,26.7,10.1,1193.2,0.9
"Micronesia (Federated States of)","Micronesia",702,106,150.8,105.1,315,3.7,3015.2,27.8,6.5,-99,-99,-99,99,99,6,40,0.2,22.4,0.3,3.3,33.2,13.7,NA,12.5,-99,NA,95.7,95.4,NA,NA,0.2,1.4,85.1,49,69.8,67.7,33.1,8,2.8,2.6
"Monaco","WesternEurope",2,39,25969.8,94.7,6258,5.4,165870.6,-99,13.4,-99,-99,NA,-99,-99,-99,-99,0.6,100,0.8,-99,-99,4.3,6.6,1,NA,NA,-99,NA,-99,NA,-99,NA,100,NA,-99,NA,NA,NA,21,55.8
"Mongolia","EasternAsia",1564116,3076,2,97.9,11758,2.3,3973.4,14.8,34.1,28.4,20.7,6.3,147,149,4917,3358,1.9,72,2.8,2.8,22.8,4.7,2.9,4.6,56.8,69.3,100,101.8,92.4,90.5,20.8,7.2,66.4,42.6,72.7,64.5,29.7,6.6,17.6,0.6
"Montenegro","SouthernEurope",13812,629,46.8,97.4,4020,4.5,6424.1,9.8,17.5,7.5,17.3,17.4,66,66,354,2263,0.1,64,0.3,1.7,4.1,6.4,2.3,-99,41.8,55.9,93.3,95.2,90.3,90.4,2.2,3.5,98,92.2,78.8,74,18.1,21.3,82.5,13.2
"Montserrat","Caribbean",103,5,51.8,106,59,0.4,11553.4,1.4,12.7,-99,-99,5.6,103,103,4,36,0.7,9,0.7,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,9.6,NA,NA,-99,NA,19.7,19.6,1.4,26.4
"Morocco","NorthernAfrica",446550,35740,80.1,98.1,100359,4.4,2919.3,13.7,28.9,32.6,20.7,10.4,130,130,22858,41696,1.4,60.2,2.3,2.6,28.1,5.9,0.6,NA,25.6,74.5,111.6,117.7,63.5,74.4,59.9,1.7,84.1,65.5,76,73.7,27.4,10.7,88.5,0.3
"Mozambique","EasternAfrica",799380,29669,37.7,95.5,14806,6.6,529.2,24.6,21,75,4.1,24.1,137,137,3352,5295,2.9,32.2,3.3,5.4,67.3,7,0.1,6.5,82.2,75.6,101.2,110.4,31.1,33.8,8.4,0.3,42.4,10.1,58.1,54,44.8,4.8,222.9,0.8
"Myanmar","South-easternAsia",676577,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,23.6,14.6,0.8,130,128,11673,15696,0.9,34.1,2.5,2.3,45,2.3,0.6,-99,74.7,80.8,98.3,101,52,50.6,21.6,0.4,84.3,77.1,68.3,63.7,26.8,9.4,73.3,0.1
"Namibia","SouthernAfrica",824116,2534,3.1,94.7,11491,5.3,4673.6,6.6,30.6,29.1,14.6,24.9,88,89,4816,6721,2.2,46.7,4.2,3.6,36.4,-99,NA,NA,56.4,64.3,109.5,113.3,NA,NA,3.8,1.6,54.5,16.8,64.3,59.1,36.7,5.5,93.9,3.8
"Nauru","Micronesia",21,11,568,101.9,189,18.7,18469.2,3,59.9,-99,-99,23,112,112,-99,-99,2.3,100,0.2,3.9,18,3.3,NA,-99,49.3,78.9,100.4,109.5,83.4,81.9,NA,4.8,65.6,NA,64.8,57.8,39.5,4,3.2,31.1
"Nepal","SouthernAsia",147181,29305,204.4,94.3,20658,2.7,724.5,31.8,14.9,72.6,10.9,3,139,139,703,5249,1.2,18.6,3.2,2.3,32.8,5.8,NA,3.7,79.7,86.7,141.2,130.7,72.2,67.1,8,0.3,56,43.5,70.4,67.4,30.9,8.8,518.3,1.8
"Netherlands","WesternEurope",41542,17036,505.2,99,750318,2,44332.1,1.8,20,2.2,15.9,5.6,115,115,511714,420969,0.3,90.5,1,1.7,3.5,10.9,3.4,5.5,57.3,69.7,104.4,105,136.3,134.7,167.3,9.9,97.5,99.9,83.1,79.4,16.4,25,1979.5,11.7
"New Caledonia","Melanesia",18575,276,15.1,101.5,8937,3.2,33965.7,1.4,26,3,26.9,15.1,102,103,1344,2422,1.4,70.2,2.2,2.2,13,-99,-99,-99,45.5,66.9,-99,NA,-99,NA,4.3,16.5,100,100,79.3,73.7,22.5,14.2,64.3,24.4
"New Zealand","Oceania",268107,4706,17.9,96.7,173417,3.1,38294.3,6.5,23,5.9,21.4,5.5,116,118,33833,36423,1.1,86.3,1,2,4.4,11,2.9,6.4,62.1,72.8,99.1,99.6,119.9,113.4,34.7,7.7,-99,NA,83.1,79.5,19.8,20.8,1039.7,23
"Nicaragua","CentralAmerica",130373,6218,51.7,97.2,12693,4.9,2086.9,18.8,26.8,24.1,14.5,6.1,130,130,2225,5927,1.2,58.8,2,2.3,20,9,0.9,NA,49.6,80.6,NA,NA,NA,NA,4.9,0.8,76.5,55.7,77.5,71.4,29,8.4,40.3,0.7
"Niger","WesternAfrica",1267000,21477,17,100.6,7143,3.6,359,39.6,19.1,62.3,14.4,2.7,148,148,927,1861,3.8,18.7,5.1,7.4,65.8,6,NA,6.7,40.4,89.2,66.8,77.9,17.2,24.2,2.1,0.1,37.9,4.6,59.5,57.6,50.2,4.2,189.3,1
"Nigeria","WesternAfrica",923768,190886,209.6,102.7,494583,2.7,2714.5,20.9,20.4,27.9,14.7,5.4,116,117,104084,36533,2.7,47.8,4.7,5.7,76.3,3.7,NA,-99,48.5,64.3,92.8,94.5,53.5,57.8,96.3,0.6,32.8,25.4,52.6,51.2,44,4.5,1199.1,0.7
"Niue","Polynesia",260,2,6.2,100,-99,-99,-99,-99,-99,NA,NA,NA,101,101,-99,-99,-0.1,42.5,-0.9,2.6,8.1,7.4,NA,-99,NA,NA,120.2,147.2,114.1,104.1,NA,5.7,100,100,76.3,70.1,22.8,20.1,0.6,34.6
"Northern Mariana Islands","Micronesia",457,55,119.9,107.1,-99,-99,-99,-99,-99,NA,NA,NA,-99,-99,1735,4553,0.1,89.2,0.4,1.6,6.4,-99,-99,-99,NA,NA,-99,NA,-99,NA,-99,NA,79.7,79.7,77.9,74.9,23.5,10,21.6,39.3
"Norway","NorthernEurope",386194,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,2.2,20.2,5.1,103,104,89120,72473,1.2,80.5,1.3,1.8,2.4,9.7,4.4,7.4,61.1,68.3,100.3,100.5,111.1,114.7,47.6,9.2,98,98.3,83.6,79.5,17.8,22.3,741.8,14.2
"Oman","WesternAsia",309500,4636,15,192.8,69832,5.7,15550.8,1.5,51.1,5,39.6,17.8,134,134,24455,23260,6.5,77.6,8.5,2.9,9.6,3.6,1.5,5,30.1,85.4,111.2,107.4,107.9,101,61.2,14.4,97.3,94.7,78.7,74.5,21.8,4,1845,41.1
"Pakistan","SouthernAsia",796095,197016,255.6,105.6,266458,5.5,1410.4,25.5,19,42.1,19.8,5.9,135,138,20534,46998,2.1,38.8,2.8,3.7,69.8,2.6,0.8,2.6,24.8,82.5,85.2,99.7,39.2,49.5,166.3,0.9,83.1,51.1,66.8,65,34.8,6.7,3629,1.9
"Palau","Micronesia",459,22,47.2,113.3,258,5.7,12122.5,3.8,8,NA,NA,NA,-99,-99,7,154,0.8,87.1,1.7,2.2,13.3,9,NA,NA,NA,NA,99,100.3,95.2,96.2,0.3,12.4,100,100,77.8,68.1,20.3,13.1,5.7,26.6
"Panama","CentralAmerica",75320,4099,55.1,100.4,52132,5.8,13268.1,2.8,27.1,14.5,19.6,6.2,117,118,636,11697,1.7,66.6,2.1,2.6,15.2,8,1.6,3.2,50.5,80.4,100.9,103.5,78.3,72.9,8.8,2.3,83.5,58,80.5,74.3,27.4,11.4,184.7,4.7
"Papua New Guinea","Melanesia",462840,8251,18.2,103.5,21315,6.6,2797.6,20.1,28.2,68.3,5.7,2.5,84,83,8760,8874,2.2,13,2.1,3.8,49,4.3,NA,-99,69.6,71.2,109.3,119.8,34.6,45.8,6.3,0.8,56.4,13.3,67.4,62.6,35.9,6.1,25.8,0.3
"Paraguay","SouthAmerica",406752,6811,17.1,102.9,27714,3.1,4174.4,19,29.5,19.6,19.5,5.5,160,166,8494,9753,1.3,59.7,2.1,2.6,28.8,9.8,1.3,5,58.3,84.7,104.3,107.6,79.1,74.2,5.7,0.9,95.5,78.4,74.9,70.7,29.4,9.4,156.5,2.4
"Peru","SouthAmerica",1285216,32166,25.1,99.8,190428,3.3,6069.1,7.6,33.3,24.4,17.3,5.3,145,148,36040,36185,1.3,78.6,1.7,2.5,18.6,5.5,1.1,4,66.1,82.8,101.7,101.7,95.8,95.7,61.7,2,82.5,53.2,76.8,71.5,27.4,10.4,90.9,0.3
"Philippines","South-easternAsia",3e+05,104918,351.9,101.3,292449,5.9,2904.2,10.5,31.3,27.7,16.3,5.9,122,120,56313,85909,1.6,44.4,1.3,3,22.2,4.7,NA,NA,50.8,78.9,116.9,116.8,92.7,84.4,105.7,1.1,77.9,70.8,72.1,65.4,31.7,7.6,211.9,0.2
"Poland","EasternEurope",312679,38171,124.6,93.4,477066,3.9,12355.5,2.6,34.1,10.9,29.6,5.3,113,113,196455,188518,NA,60.5,-0.1,1.3,4.5,6.4,2.3,4.9,49.1,64.9,100.7,100.5,106.1,110,285.7,7.4,97.5,96.7,81,72.9,14.8,24,619.4,1.6
"Portugal","SouthernEurope",92226,10330,112.8,89.8,199122,1.6,19239.2,2.3,22.3,8,23.8,10.5,104,104,55658,67580,-0.4,63.5,1,1.3,2.9,9.5,4.4,5.1,53.3,63.7,105.3,109.4,117.3,121,45.1,4.3,99.6,99.8,83.5,77.3,13.6,27.9,837.3,8.1
"Puerto Rico","Caribbean",8868,3663,413,92.6,102906,NA,27939,0.8,50,2,17.5,12.8,110,111,-99,-99,-0.2,93.6,-0.2,1.5,6.3,-99,-99,6.4,34.4,51.7,90.4,89.1,83.9,78.8,-99,NA,99.3,99.3,83.2,75.2,17.9,20.4,275,7.5
"Qatar","WesternAsia",11607,2639,227.3,301.2,164641,3.6,73653.4,0.2,56.4,1.2,54.1,0.3,154,154,57254,32058,6.6,99.2,6,2,7.2,2.2,2,3.6,53.1,93.6,103.6,102.4,103.6,82,107.9,49.7,98,98,79.4,76.8,13.9,2.8,1687.6,75.5
"Republic of Korea","EasternAsia",100284,50982,524.3,100.2,1377873,2.6,27396.7,2.3,38,5,24.7,3.6,104,104,495418,406182,0.4,82.5,0.7,1.2,3,7.4,2.2,5.1,50.2,71.9,98.7,99.3,98.4,99.3,587.2,11.7,100,100,84.4,77.9,13.5,20.1,1327.3,2.6
"Republic of Moldova","EasternEurope",33846,4051,123.3,92.2,6475,-0.7,1591.4,13.4,20.8,28.8,30.9,5,109,109,2045,4020,-0.1,45,-0.7,1.3,14.3,10.3,2.5,7.5,39.1,46.5,91.9,92.9,86.5,85.8,4.9,1.2,87.8,67.1,75.2,66.7,15.7,17.6,142.9,3.5
"Romania","EasternEurope",238391,19679,85.5,94,177956,3.7,9120.7,4.8,34.9,25.5,27.7,7.1,100,100,63581,74605,-0.6,54.6,NA,1.5,8.7,5.6,2.7,3.1,47.3,64.5,89,90.5,92,92.5,70,3.6,92.2,63.3,78.4,71.4,15.3,24.9,226.9,1.2
"Russian Federation","EasternEurope",17098246,143990,8.8,86.8,1326016,-3.7,9243.3,4.7,31.8,6.8,27.1,5.8,120,120,285491,182257,0.1,74,-0.1,1.7,8.3,7.1,3.3,3.9,56.3,71.3,100.9,100.1,103.4,105.5,1705.3,11.9,77,58.7,75.9,64.7,17.6,21.1,11643.3,8.1
"Rwanda","EasternAfrica",26338,12208,494.9,96.2,8096,6.9,697.3,34.6,15.1,75,7.2,2.4,139,139,622,1778,2.5,28.8,6.4,4.2,44,7.5,NA,3.6,86.1,83.3,133.4,131.7,38.2,35.2,0.8,0.1,58.5,62.9,67.1,63.1,40.1,4.9,441.5,3.8
"Saint Helena","WesternAfrica",308,4,10.4,-99,-99,-99,-99,-99,-99,NA,NA,NA,-99,-99,NA,48,-0.7,39.4,-0.6,-99,-99,-99,-99,-99,-99,NA,-99,NA,-99,NA,NA,3.1,-99,NA,-99,NA,-99,NA,0.6,15.2
"Saint Kitts and Nevis","Caribbean",261,55,212.9,97,876,3.8,15771.9,1.2,28.1,NA,NA,NA,39,39,51,332,1.1,32,1.3,-99,-99,5.1,NA,2.8,NA,NA,83.4,81.7,92.8,88,0.2,4.2,NA,NA,-99,NA,NA,NA,7.4,13.4
"Saint Lucia","Caribbean",539,179,293.2,95.9,1450,1.9,7839.4,2.7,12.9,14.8,17.6,19,69,69,120,654,0.5,18.5,0.9,1.5,10.9,6.7,NA,4.9,63.1,76.6,NA,NA,84.8,85.5,0.4,2.2,84.7,91.9,77.6,72.2,18.9,13.7,12.8,6.9
"Saint Pierre and Miquelon","NorthernAmerica",242,6,27.5,98.2,-99,-99,-99,-99,-99,-99,-99,-99,112,112,653,2629,NA,90.4,0.1,-99,-99,-99,-99,-99,-99,NA,-99,NA,-99,NA,0.1,12.2,-99,NA,-99,NA,NA,NA,1,15.7
"Saint Vincent and the Grenadines","Caribbean",389,110,281.8,101.7,738,1.6,6739.2,7.5,17.2,22.1,16.1,19.1,115,115,47,335,NA,50.6,0.7,2,16.5,8.6,NA,NA,56.4,76.9,103.2,105.8,105,107.9,0.2,1.9,NA,NA,74.9,70.7,23.8,11.7,4.6,4.2
"Samoa","Polynesia",2842,196,69.4,106.6,774,2.8,4006,9.3,24.2,5.3,14.8,6.5,107,107,56,350,0.8,19.1,-0.2,4.2,18,7.2,NA,NA,23.3,58.2,106.7,106.7,89.5,80.7,0.2,1,93.3,91.1,77.4,71.1,36.6,8.5,4.9,2.6
"San Marino","SouthernEurope",61,33,556.7,94.9,1565,1,49240.2,0.1,33.3,NA,NA,6.6,-99,-99,-99,-99,1.2,94.2,0.6,NA,-99,6.1,6.4,2.4,NA,NA,92.6,93.9,95.9,93.5,-99,NA,-99,NA,86.4,81.7,15,24.1,4.7,14.8
"Sao Tome and Principe","MiddleAfrica",964,204,212.8,99.2,334,4,1752.8,12.3,14.7,22.2,13.5,13.6,119,119,10,139,2.2,65.1,3.6,4.7,43.8,8.1,NA,3.8,45.4,76.2,112.2,117.7,91.7,80.8,0.1,0.6,40.8,23.3,68.2,64,42.8,4.3,2.4,1.3
"Saudi Arabia","WesternAsia",2206714,32938,15.3,132.9,653219,3.4,20710.6,2.3,46,5.9,22.7,5.5,96,96,182329,135904,2.8,83.1,2.1,2.7,13,4.7,2.6,NA,20,78.5,111.1,107.9,93.7,122.6,601,19.5,100,100,75.6,72.7,25.2,5.6,10185.9,32.3
"Senegal","WesternAfrica",196712,15851,82.3,96.6,13633,6.5,901.1,15.5,24.1,51.4,20.7,9.3,126,127,2640,5478,3,43.7,3.6,5,43.9,4.7,NA,7.4,45.3,70.5,86.9,77.6,49.1,50.2,8.9,0.6,65.4,33.8,67.5,63.8,42.9,4.7,263.2,1.7
"Serbia","SouthernEurope",88499,8791,100.5,95.6,37160,0.8,5238.6,8.2,31.4,19.4,24.5,15.5,102,102,14852,19231,-0.4,55.6,-0.3,1.6,9.8,10.4,2.5,4.2,43.4,59.9,101.2,101.5,97.4,96,37.7,4.3,98.2,94.2,77.5,71.8,16.5,24.5,807.4,9.1
"Seychelles","EasternAfrica",457,95,206,97.2,1363,6.8,14133.2,2.7,13.6,3.6,17.9,4.1,105,109,335,833,0.5,53.9,1.1,2.4,10.2,3.4,1,3.6,61.9,68.3,103.6,101.1,84.5,78.8,0.5,5.2,98.4,98.4,77.9,68.7,22.2,13.3,12.8,13.3
"Sierra Leone","WesternAfrica",72300,7557,104.7,98.1,4483,-20.3,694.8,51.4,17.6,68,6.5,3.1,168,168,466,958,2.3,39.9,2.7,4.8,94.4,11.1,NA,2.7,65.1,68.8,128.2,127,40.1,46.5,1.3,0.2,22.8,6.9,50.7,49.6,42.1,4.2,91.2,1.4
"Singapore","South-easternAsia",719,5709,8155.5,97.7,292734,2,52239,NA,26.4,0.3,17,2,112,112,329871,283009,1.7,100,2,1.2,2.1,4.9,1.9,2.9,57.8,76.1,-99,NA,-99,NA,56.4,10.2,100,NA,84.5,80.1,15,19.5,2543.6,45.4
"Sint Maarten (Dutch part)","Caribbean",34,40,1180,95.7,1094,0.5,28241.7,0.1,12.3,-99,-99,-99,-99,-99,-99,-99,3.1,100,2,-99,-99,-99,-99,-99,-99,NA,-99,NA,-99,NA,0.7,19.5,-99,NA,77.1,69.2,21,10.4,27.3,70.4
"Slovakia","EasternEurope",49035,5448,113.3,94.6,87268,3.8,16082.5,3.7,34.8,3.3,34.5,9.9,97,97,77565,75156,0.1,53.6,-0.3,1.4,5.7,8.1,3.4,4.2,51.4,68,99.2,100.2,92.8,92.1,30.7,5.6,99.4,98.2,79.8,72.6,15.4,21.8,177.2,3.3
"Slovenia","SouthernEurope",20273,2080,103.3,98.6,42777,2.3,20689.8,2.4,32.7,8.9,29.6,8.1,89,89,27585,26646,0.3,49.7,0.1,1.6,2.5,9.2,2.8,5.5,51.8,62.2,99.4,99.2,110.5,110.8,12.8,6.2,99.1,99.1,83.2,77.2,15,26.3,236,11.4
"Solomon Islands","Melanesia",28896,611,21.8,103.4,1075,3.2,1841.6,28.2,15.6,48.1,2.4,31.4,118,118,437,454,2.1,22.3,4.2,4.1,30,5.1,0.2,NA,61.1,73.5,113.6,115,47,49.8,0.2,0.4,81.4,15,71.1,68.3,38.8,5.4,2.6,0.4
"Somalia","EasternAfrica",637657,14742,23.5,99.3,1559,2.7,144.5,60.2,7.4,72,4.8,6.6,112,112,925,530,2.9,39.6,4.1,6.6,79.5,-99,NA,-99,33.3,75.9,NA,NA,NA,NA,0.6,0.1,52,6.3,56.5,53.3,46.4,4.4,25.3,0.2
"South Africa","SouthernAfrica",1221037,56717,46.8,96.4,314571,1.3,5773,2.4,28.9,6.1,26.2,26,125,126,74111,74744,1.4,64.8,1.6,2.6,36.5,8.8,0.8,6,46.4,61.1,97.3,102.2,111.5,88,489.8,9.1,69.6,60.5,63,56.1,29,8.4,3142.5,5.8
"South Sudan","EasternAfrica",658841,12576,20.6,100.4,13167,2,1067,4.6,58,-99,-99,NA,-99,-99,2389,750,3.3,18.8,5.1,5.2,77.7,2.7,-99,1.8,NA,NA,53.1,74.9,6.6,12.3,1.5,0.1,16.4,4.5,56,54.1,41.7,5.1,824.1,6.7
"Spain","SouthernEurope",505944,46354,92.9,96.2,1192955,3.2,25865.4,2.6,23.6,3.9,19.2,18.3,102,102,281777,302539,-0.2,79.6,0.7,1.3,2.9,9,3.8,4.3,52.1,64.2,105.6,104.5,129.6,130,234,5.1,99.8,100,85.3,79.6,14.7,25.3,5853,12.7
"Sri Lanka","SouthernAsia",65610,20877,332.9,92.5,82316,4.8,3973.7,8.7,30.7,27.4,25.9,5.2,120,122,10546,19501,0.5,18.4,0.8,2.1,8.2,3.5,NA,2.2,30.4,75,100.6,102.7,102,97.5,18.4,0.9,88.1,96.7,78,71.2,24,14.9,38.7,0.2
"State of Palestine","WesternAsia",6020,4921,817.4,102.9,12677,3.5,2715.5,4.8,23.4,8.7,29.8,24.2,90,90,929,5058,2.7,75.3,2.8,4.2,20,-99,-99,1.3,18.4,69.7,94.3,94.4,87,79.2,2.8,0.6,93,90.2,74.8,71.1,39.6,4.6,255.5,5.5
"Sudan","NorthernAfrica",-99,40533,23,99.9,79546,4.9,1977,32.4,20.1,32.9,20.4,13.4,-99,-99,1797,7658,2.3,33.8,2.5,4.8,48.7,8.4,3.1,NA,24.4,72.2,66.6,74.1,41.5,43.9,15.4,0.4,-99,NA,65.1,62.1,40.8,5.5,503.5,1.3
"Suriname","SouthAmerica",163820,563,3.6,100.7,4879,-2.7,8985.3,11.4,27.4,3.4,22.3,9.9,152,152,1437,1244,1,66,0.8,2.5,17.4,5.7,NA,-99,40.5,68.6,121.4,124.2,90.9,71.7,2,3.7,88.4,61.4,74.2,67.8,26.4,10.4,46.8,8.6
"Swaziland","SouthernAfrica",17363,1367,79.5,93.9,4133,1.7,3211.7,6.6,42.1,22,17,25.1,114,115,1881,733,1.8,21.3,1.3,3.3,56.3,9.3,NA,7,40.6,65.1,108,117.5,65.8,66.2,1.2,1,63.1,56,58.2,51.6,37.2,4.8,31.6,2.5
"Sweden","NorthernEurope",438574,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,1.8,18.2,7.3,100,100,139574,140838,0.8,85.8,0.8,1.9,2.4,11.9,4.1,7.7,60.7,68,125.6,120.6,150,131.5,43.4,4.5,99.2,99.6,83.7,80,17.5,25.5,1639.8,16.8
"Switzerland","WesternEurope",41291,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,3.5,20.4,4.6,106,106,304691,269157,1.2,73.9,1.1,1.5,3.9,11.7,4.1,5.1,62.5,74.5,103.8,104.1,99.4,103,35.3,4.3,99.9,99.8,84.8,80.5,14.9,24.1,2438.7,29.4
"Syrian Arab Republic","WesternAsia",185180,18270,99.5,102.1,28393,-5.3,1534.5,20.7,30,18.5,39.2,13.8,65,68,1265,2383,-2.3,57.7,1.4,3.1,17.9,3.3,1.5,NA,12.4,70.9,78.7,81.4,50.5,50.5,30.7,1.7,96.2,95.1,76.3,64.4,36.6,6.8,875.2,4.7
