"Pais","Region","Superficie_km2","Poblacion_Miles_2017","Poblacion_Denskm2_2017.","SexoProporcionMpor100F_2017.","PIB_millonesUSD","PIB_crecimientoAnual","PIB_PerCapita","Economia_PorcentajeAgricola","Economia_PorcentajeIndustria","Empleados_PorcentajeAgricola","Empleados_PorcentajeIndustria","Desempleo_PorcentajePob","IndiceProduccionAgricola","IndiceProducionAlimentaria","ComercioIntExportacion_millonesUSD","ComercioIntImportacion_millonesUSD","CrecimientoPoblacion_TasaAnual","PoblacionUrbana_Porcentaje","CrecimientoPobUrbana_TasaAnual","TasaFertilidac_NacVivosMujer","MortalidadInfantil_porMilNac","GastoSalud_PIB","medicos_porMilpoblacion","GastoEducacion_PIB","participacionLaboralFem","participacionLaboralMasc","EducPrimariaTasaFem","EducPrimariaTasaMasc","EducSecundariaTasaFem","EducSecundariaTasaMasc","EducTerciariaTasaFem","EducTerciariaTasaMasc","AccesoAguaMejorPobUrbana","AccesoAguaMejorPobRural","EsperanzaVidaFem","EsperanzaVidaMasc","PorcentPoblacionJoven","PorcentPoblacionVieja","MigracionNum","MigracionPorcentaje"
"Ecuador","SouthAmerica",257217,16625,66.9,99.9,100177,0.2,6205.1,10.1,34.1,25.7,19.2,5.8,118,119,16798,16189,1.6,63.7,1.9,2.6,21.1,9.2,1.7,5,49.1,79.9,107.9,107.4,109.2,105.3,43.9,2.8,87,80.7,78.4,72.8,28.4,10.5,387.5,2.4
"Egypt","NorthernAfrica",1002000,97553,98,102.3,315917,4.2,3452.3,11.2,36.3,25.4,25.3,11.5,120,122,22507,58053,2.2,43.1,1.7,3.4,18.9,5.6,0.8,NA,23.1,76.2,103.8,104.1,85.9,86.3,201.9,2.2,96.8,93.1,73,68.7,33.5,7.9,491.6,0.5
"El Salvador","CentralAmerica",21041,6378,307.8,88.5,25850,2.5,4219.4,10.8,25.8,18.6,20.2,6.4,111,117,5335,9855,0.5,66.7,1.4,2.2,17,6.8,NA,3.5,49.5,79.5,106.8,111.4,79.7,79.2,6.3,1,82.4,60,77.1,67.9,27.4,11.6,42,0.7
"Equatorial Guinea","MiddleAfrica",28052,1268,45.2,124,13812,-7.4,16344.1,1.2,73.1,18.8,18,7.7,117,118,7443,5456,4.2,39.9,3.1,5,70,3.8,NA,-99,71.5,91.8,78.2,80,NA,NA,5.3,6.5,79.9,71,58.4,55.5,37.2,4.4,10.8,1.3
"Eritrea","EasternAfrica",117600,5069,50.2,100.4,4783,4.8,914.9,17.2,23.5,57,7.6,7.3,109,109,16,3325,2,22.6,5.1,4.4,45,3.3,NA,NA,77.8,90.1,45.9,53.2,28.1,32.9,0.7,0.1,44.6,7.3,65.6,61.4,41.8,5.3,15.9,0.3
"Estonia","NorthernEurope",45227,1310,30.9,88.2,22460,1.4,17112,3.4,27.4,3.8,29,7.2,136,136,13952,15759,-0.3,67.5,-0.4,1.6,3.2,6.4,3.3,5.5,55.4,69.4,98.5,98.3,114.7,115.6,19.5,14.8,97.5,96.6,81.2,71.8,16.4,25.9,202.3,15.4
"Ethiopia","EasternAfrica",1104300,104957,105,99.7,59917,9.6,602.8,40.5,16,70.5,8.4,5.7,158,157,1724,19121,2.6,19.5,4.9,4.6,45.8,4.9,NA,4.5,77.1,89.1,97.2,106.9,34.4,35.9,11.6,0.1,27.2,28.2,65.5,61.9,40.6,5.3,1072.9,1.1
"Falkland Islands (Malvinas)","SouthAmerica",12173,3,0.2,110.5,-99,-99,-99,-99,-99,-99,-99,1.2,96,105,4,17,0.3,76.2,1,-99,-99,-99,-99,-99,77.2,86,-99,NA,-99,NA,0.1,18.9,-99,NA,-99,NA,16.4,15.7,1.6,54.1
"Faroe Islands","NorthernEurope",1393,49,35.3,107.2,-99,-99,-99,-99,-99,NA,NA,4,102,102,1192,976,0.2,42,0.5,2.4,-99,-99,-99,-99,79.4,86,-99,NA,-99,NA,0.6,12.4,-99,NA,84.5,78.3,21,22.5,5.5,11.4
"Fiji","Melanesia",18272,906,49.6,103.1,4391,3.6,4921.9,11.3,18.1,21.3,2.9,7.7,88,88,926,2316,0.7,53.7,1.5,2.6,16,4.5,NA,3.9,37,71.2,105.1,106,93.4,84.3,1.2,1.3,93.4,88.4,72.9,66.9,28.5,9.9,13.8,1.5
